id,x,y,dbh
144,11.89,2.45,40.96
176,15.23,4.97,33.93
73,-21.83,18.95,55.42
224,-20.74,-10.7,30.65
38,0.45,-23.49,54.08
67,-31.25,23.66,59.82
232,-31.4,-1.98,62.31
51,37.26,32.14,52.76
35,-38.2,31.12,53.65
18,-20.59,22.29,12.42
211,-0.23,1.83,36.46
20,7.91,-7.57,29.03
98,-9.27,38.44,25.26
126,-8.25,-0.33,50.24
9,-30.07,-35.75,33.05
237,-6.25,-8.19,15.56
146,11.07,26.37,56.1
72,-16.49,-25.74,23.56
248,-33.27,36.94,35.75
110,-13.33,-9.46,26.26
82,30.0,35.48,12.34
118,-2.01,-3.74,29.38
162,-10.28,24.24,58.64
191,16.25,20.22,68.3
95,10.3,23.61,31.77
202,-8.77,38.77,69.95
65,-37.58,38.03,16.97
31,-24.43,8.32,43.52
128,18.26,-39.46,48.21
61,3.23,38.71,62.91
165,-7.58,32.37,55.28
194,29.61,-22.68,23.84
253,-16.32,29.72,20.4
213,39.66,26.28,10.7
46,36.93,-22.93,16.53
155,35.2,0.4,90.41
80,38.87,7.31,17.77
7,-26.51,-5.08,44.78
177,18.35,31.49,65.28
203,39.13,26.48,56.43
108,-26.22,-14.36,58.59
130,-0.91,-37.81,59.62
27,11.12,5.18,37.59
49,-36.68,31.75,13.47
107,1.83,-8.4,22.7
252,26.58,0.42,48.62
85,-7.47,21.18,59.2
70,18.22,-23.13,22.54
129,23.96,-22.3,11.57
228,35.89,8.41,17.73
250,-30.04,-32.65,53.57
14,-32.18,18.69,57.94
195,35.69,24.25,46.05
115,7.66,-34.24,37.76
90,4.27,-39.02,25.79
121,-35.18,-34.63,42.67
192,1.09,-15.17,17.39
233,-11.42,-30.56,31.89
254,26.42,26.7,40.45
68,37.44,26.5,53.82
6,-34.63,-19.62,46.58
156,-9.95,-34.73,33.45
139,28.31,2.53,36.42
23,6.32,25.79,59.67
16,-18.08,22.06,49.04
137,29.22,-25.34,47.1
11,-34.05,24.23,68.46
212,-21.22,6.77,24.66
168,31.07,-8.08,49.87
149,13.74,-25.04,32.75
189,1.16,-0.59,10.41
199,7.51,1.82,56.09
217,18.61,5.83,41.03
234,-8.39,39.68,34.89
255,5.7,-34.81,24.3
222,-17.58,-34.77,36.92
215,-35.09,18.03,75.0
230,-16.9,29.71,31.45
185,-21.52,32.69,82.17
78,-18.6,33.19,38.14
105,-31.58,11.13,47.5
180,-6.0,21.98,16.92
37,-34.86,3.06,64.77
143,-3.7,-16.7,52.84
21,-4.97,-19.27,52.46
69,-13.9,-30.36,35.6
170,-27.58,-14.51,27.24
36,20.64,15.22,51.18
89,22.5,27.62,28.68
174,4.82,-29.12,65.53
86,-36.92,8.5,29.39
219,-27.03,-35.28,24.14
104,-21.93,24.19,21.39
249,35.02,-33.99,29.22
138,-25.22,-34.57,15.62
